ID,ra,dec
33398702,344.420449437894,-8.06747255937119
33398853,344.385740689958,-8.71066346020641
326478986,344.461324489008,-18.7500253610322
326479336,344.529938120722,-17.9023395708138
33398190,344.208238491093,-6.00870021074129
33398507,344.400838702735,-7.16461468460723
326479200,344.448199056123,-18.2751684178469
277773508,343.643676243051,-65.912265947692
38254861,344.16162618131,-4.76950200649298
38255074,344.265871837226,-5.85287724304335
38255138,344.284228882544,-5.63164280010193
38255663,344.36316476773,-3.25738668619505
38255691,344.32109755705,-3.13910954379115
38255699,344.310432410411,-3.08680510645942
9209924,352.50133129266,-18.6812661254338
9760525,359.034827860103,-10.4727614838146
27955355,358.417766576799,-19.2636081730574
27955696,358.393633630441,-21.097324349456
89503905,356.959007040182,-19.2845212570672
206354321,355.431570049969,-51.9436714859066
434103018,353.205826722354,-16.8456452264909
434101713,353.128589707912,-12.2642959861694
434102732,353.098560333232,-17.6130640795859
441054737,359.330661808214,-12.9779803175734
238176832,358.355099349673,-70.9447632646802
290461578,0.407482233981397,-80.3225569573163
274014993,352.759115202312,-82.4201924054771
9210200,352.593349442083,-19.2707085507856
27955982,358.471463524584,-22.6054907666355
38254915,344.210948925707,-5.0111858875311
38255241,344.371070497168,-5.14847010357044
206326359,353.859163694376,-52.0246254206602
206326563,353.856997897167,-52.9855339197146
206326759,353.959415223038,-53.8254092811649
206326988,354.016643416985,-52.8446228011153
219333612,353.876312113506,-59.7936601014394
425863400,351.984718222634,-46.3423003757492
425863426,351.948764226976,-46.4827416166121
425863427,351.952974766853,-46.487948047127
425863497,351.944719467972,-46.8415737334152
425864099,352.089153107066,-46.102449395075
425864246,352.01415181157,-45.4125083251611
469917500,350.979806664795,-48.6137007081085
469932861,351.079039454544,-50.0411844508372
469933034,351.004809287927,-50.8822162788547
469933059,351.088571649953,-51.0134555325872
219333652,353.912959192948,-59.5929423967316
219333756,353.904983321428,-59.1526410890153
219333772,353.970591723996,-59.0646309615342
350214519,355.443616065048,-61.2037904002002
144335056,355.968623411393,-44.9450525829133
144335487,356.032011685949,-42.4744854321366
144312881,354.931814615754,-43.2574867539699
144313106,355.035487476926,-42.1075311549979
469933385,350.922796657698,-52.3418957758969
469933664,351.054356081731,-53.5361664011186
469933830,351.25829513362,-53.5879639765672
469934266,351.165348439568,-51.5957757440498
469934336,351.106431742093,-51.336466230644
469934431,351.158932789524,-50.9197204851355
206327047,354.081348048457,-52.532683501519
206327323,354.016003049155,-51.1602228222872
206327506,354.086893937467,-50.1197038072965
274015024,353.098078152733,-82.5198581568061
277873756,353.170953202255,-77.4349654483228
277874409,353.211051693756,-74.7867793521655
277874410,353.203633190818,-74.785891377894
277874758,353.102419660189,-73.4933842004085
277874893,353.056905827538,-72.9575422471751
277888959,353.107806138846,-72.2244646177742
401835025,353.587542612914,-86.4121852092934
402026240,353.621071770129,-42.239848702579
219342752,355.250084922047,-54.1186372660953
219343218,355.364011130568,-56.3694922642798
219343288,355.365803451577,-56.699329696554
235042266,354.501108437968,-61.1566147652605
402026353,353.550650284748,-42.8675866232284
402026758,353.490121130593,-44.6072379086855
402026785,353.615258911461,-44.7313741991587
402027001,353.565249738158,-45.7308434764988
402027107,353.488188036877,-46.1865220679196
235042574,354.602460444199,-59.9919789940145
434101727,353.158930977396,-12.3110858037972
434101759,353.078692025949,-12.499094338755
434101793,353.095494716219,-12.7132042070784
434101865,353.164694729248,-13.098883386188
434101988,353.174512334005,-13.6978699876932
434102154,353.143975216361,-14.5670498953432
434102197,353.144590603641,-14.9008347835123
277911447,354.595703273876,-77.2422274708763
277911470,354.668259941174,-77.158178205409
277911678,354.646657512561,-76.4468021485456
277911752,354.430823625204,-76.1939111556121
434102325,353.10682270387,-15.622568417832
434102643,353.099529132769,-17.1574128113003
434102730,353.090310969628,-17.6005407622077
434102767,353.172495167235,-17.8073366899091
224278291,355.491446024804,-37.1683382485546
9177830,352.263507928417,-21.9330807869689
9178051,352.257362083732,-22.9919614864564
9178274,352.415518164974,-23.8204141541826
9178379,352.374547539872,-23.2761881108541
9178450,352.36533254172,-22.9061339116122
9178476,352.358201537677,-22.7716788870191
9178536,352.372392602732,-22.352392456547
9178758,352.409193728408,-21.3463799296053
9178835,352.373296826618,-21.1250959252658
9179081,352.459803896932,-19.9802454391049
9179484,352.382503860054,-18.0930865364222
9210221,352.558170263625,-19.3172348877017
27955257,358.419130256136,-18.669209807508
27955258,358.420677065783,-18.675234420769
27955268,358.356491372261,-18.7445544490881
441054714,359.304064936563,-13.0801647915204
27956013,358.464239062469,-22.7928594061239
27956078,358.368174361177,-23.1935441706002
27956278,358.562148343295,-23.4533089086461
27956349,358.509785780489,-23.0732606558271
27956474,358.531588556927,-22.405707804886
27956482,358.544807671835,-22.3804870549543
27956592,358.560436335553,-21.7526035071661
89503355,356.860376931593,-19.3901396723039
89503508,356.917992202164,-18.5524078081117
89503519,356.840624432465,-18.4663945777994
89503541,356.820036693082,-18.3640054473279
89504292,357.040523795184,-21.3001903669142
89504529,357.013192688556,-22.5247334237192
89525310,357.07020615564,-23.6951174372354
92138129,355.953701003933,-12.8784924134306
92138131,355.949228306014,-12.8811301036805
92138622,356.040756062181,-14.637839955466
92138634,355.976825902425,-14.7094187536209
92139306,355.975685955584,-17.4551334644468
136886163,356.921340429116,-12.3159911989454
136886225,356.919354946441,-12.5981009230706
136886342,356.916098545661,-13.3107548496409
136886499,356.957744857459,-14.1225408350999
136886724,356.952504314881,-15.4038304318388
136886985,357.008602007664,-16.9176675336141
206365851,357.28987428886,-52.508703734719
206366150,357.376376260271,-50.9542233934436
206382705,357.439702272855,-49.2425449223926
206382758,357.343314666829,-48.9915027483346
206382889,357.373894161423,-48.2638134274172
206383016,357.512924670017,-48.1871267184517
206383097,357.515772707921,-48.6430401615334
206383106,357.554842314688,-48.706224213365
206383299,357.552983918858,-49.7324910696154
